country,deaths_2020_2022,sum_deaths2016_2019,avg_deaths_2016_2019,expected_deaths_2020_2022,excess_deaths_2020_2022,excess_deaths_prc_2020_2022,rank
Sweden,270364.14285714284,347695.7142857143,86923.92857142858,260771.78571428574,9592.357142857101,3.6784489996041807,1
Norway,126088.14285714286,159638.7142857143,39909.67857142857,119729.03571428571,6359.107142857145,5.3112489421798585,2
Denmark,168255.42857142858,211265.42857142858,52816.357142857145,158449.07142857142,9806.35714285716,6.188964728188924,3
Luxembourg,13296.714285714286,16493.285714285714,4123.321428571428,12369.964285714286,926.75,7.491937556119517,4
Ireland,99779.0,122820.0,30705.0,92115.0,7664.0,8.320034739184715,5
Belgium,349751.5714285714,428579.2857142857,107144.82142857142,321434.46428571426,28317.10714285716,8.80960515723879,6
Finland,173116.42857142858,211650.85714285716,52912.71428571429,158738.14285714287,14378.28571428571,9.057864389421209,7
Germany,3014765.4285714286,3668005.1428571427,917001.2857142857,2751003.8571428573,263761.57142857136,9.587829938650444,8
Latvia,92034.71428571429,111727.0,27931.75,83795.25,8239.46428571429,9.83285363515747,9
France,1968784.7142857143,2373434.7142857146,593358.6785714286,1780076.035714286,188708.6785714284,10.60115830926884,10
Switzerland,217033.42857142858,261470.42857142858,65367.607142857145,196102.82142857142,20930.60714285716,10.673282000932828,11
Hungary,425461.71428571426,509193.28571428574,127298.32142857143,381894.9642857143,43566.74999999994,11.408045162754627,12
Austria,266751.0,318308.14285714284,79577.03571428571,238731.10714285713,28019.89285714287,11.737009555430793,13
Estonia,51025.0,60794.142857142855,15198.535714285714,45595.607142857145,5429.392857142855,11.907710407565887,14
Lithuania,131107.57142857142,156086.85714285716,39021.71428571429,117065.14285714287,14042.42857142855,11.995396946266773,15
Portugal,365872.14285714284,435270.4285714285,108817.60714285713,326452.82142857136,39419.32142857148,12.075043878031398,16
Netherlands,499870.85714285716,592749.5714285714,148187.39285714284,444562.1785714285,55308.67857142864,12.441156993867418,17
Spain,1382902.7142857143,1637105.2857142857,409276.3214285714,1227828.9642857143,155073.75,12.629914630676078,18
Croatia,173657.7142857143,205276.85714285713,51319.21428571428,153957.64285714284,19700.07142857145,12.795773605634588,19
Italy,2131798.8571428573,2518739.4285714286,629684.8571428572,1889054.5714285714,242744.2857142859,12.850040935064882,20
Greece,408800.0,478760.7142857143,119690.17857142858,359070.53571428574,49729.46428571426,13.849497338117503,21
Slovenia,68354.57142857143,79668.14285714286,19917.035714285714,59751.107142857145,8603.46428571429,14.398836602549512,22
Romania,889111.2857142857,1024690.4285714286,256172.60714285716,768517.8214285715,120593.4642857142,15.691693923446973,23
Czechia,381900.5714285714,435853.0,108963.25,326889.75,55010.82142857142,16.8285550184952,24
Malta,12224.857142857141,13945.857142857143,3486.464285714286,10459.392857142857,1765.4642857142844,16.87922339114192,25
Slovakia,187899.14285714284,209662.85714285716,52415.71428571429,157247.14285714287,30651.99999999997,19.492881996493217,26
Poland,1418592.7142857143,1582653.2857142857,395663.3214285714,1186989.9642857143,231602.75,19.511769852188245,27
Cyprus,20754.0,23099.571428571428,5774.892857142857,17324.678571428572,3429.3214285714275,19.794430323382617,28
Bulgaria,385350.0,425014.4285714286,106253.60714285714,318760.8214285714,66589.17857142858,20.890013481895238,29
