geo_codes,country,week,deaths,year,date,deaths_per_day
BE,Belgium,1,2339.0,2005,2005-01-03,334.14285714285717
BE,Belgium,1,2280.0,2010,2010-01-04,325.7142857142857
BE,Belgium,1,2244.0,2016,2016-01-04,320.57142857142856
BE,Belgium,1,2466.0,2021,2021-01-04,352.2857142857143
BG,Bulgaria,1,2331.0,2005,2005-01-03,333.0
BG,Bulgaria,1,2270.0,2010,2010-01-04,324.2857142857143
BG,Bulgaria,1,2441.0,2016,2016-01-04,348.7142857142857
BG,Bulgaria,1,2628.0,2021,2021-01-04,375.42857142857144
DE,Germany,1,17002.0,2005,2005-01-03,2428.8571428571427
DE,Germany,1,17560.0,2010,2010-01-04,2508.5714285714284
DE,Germany,1,18467.0,2016,2016-01-04,2638.1428571428573
DE,Germany,1,24919.0,2021,2021-01-04,3559.8571428571427
EE,Estonia,1,390.0,2005,2005-01-03,55.714285714285715
EE,Estonia,1,403.0,2010,2010-01-04,57.57142857142857
EE,Estonia,1,322.0,2016,2016-01-04,46.0
EE,Estonia,1,378.0,2021,2021-01-04,54.0
ES,Spain,1,10846.0,2005,2005-01-03,1549.4285714285713
ES,Spain,1,8205.0,2010,2010-01-04,1172.142857142857
ES,Spain,1,8658.0,2016,2016-01-04,1236.857142857143
ES,Spain,1,10470.0,2021,2021-01-04,1495.7142857142858
HR,Croatia,1,982.0,2005,2005-01-03,140.28571428571428
HR,Croatia,1,972.0,2010,2010-01-04,138.85714285714286
HR,Croatia,1,1115.0,2016,2016-01-04,159.28571428571428
HR,Croatia,1,1342.0,2021,2021-01-04,191.71428571428572
LV,Latvia,1,654.0,2005,2005-01-03,93.42857142857143
LV,Latvia,1,650.0,2010,2010-01-04,92.85714285714286
LV,Latvia,1,684.0,2016,2016-01-04,97.71428571428571
LV,Latvia,1,840.0,2021,2021-01-04,120.0
LT,Lithuania,1,865.0,2005,2005-01-03,123.57142857142857
LT,Lithuania,1,808.0,2010,2010-01-04,115.42857142857143
LT,Lithuania,1,845.0,2016,2016-01-04,120.71428571428571
LT,Lithuania,1,1200.0,2021,2021-01-04,171.42857142857142
LU,Luxembourg,1,76.0,2005,2005-01-03,10.857142857142858
LU,Luxembourg,1,84.0,2010,2010-01-04,12.0
LU,Luxembourg,1,75.0,2016,2016-01-04,10.714285714285714
LU,Luxembourg,1,102.0,2021,2021-01-04,14.571428571428571
HU,Hungary,1,2676.0,2005,2005-01-03,382.2857142857143
HU,Hungary,1,2721.0,2010,2010-01-04,388.7142857142857
HU,Hungary,1,2823.0,2016,2016-01-04,403.2857142857143
HU,Hungary,1,3222.0,2021,2021-01-04,460.2857142857143
NL,Netherlands,1,2867.0,2005,2005-01-03,409.57142857142856
NL,Netherlands,1,2767.0,2010,2010-01-04,395.2857142857143
NL,Netherlands,1,3178.0,2016,2016-01-04,454.0
NL,Netherlands,1,4144.0,2021,2021-01-04,592.0
AT,Austria,1,1534.0,2005,2005-01-03,219.14285714285714
AT,Austria,1,1557.0,2010,2010-01-04,222.42857142857142
AT,Austria,1,1634.0,2016,2016-01-04,233.42857142857142
AT,Austria,1,1953.0,2021,2021-01-04,279.0
PL,Poland,1,7477.0,2005,2005-01-03,1068.142857142857
PL,Poland,1,7662.0,2010,2010-01-04,1094.5714285714287
PL,Poland,1,8215.0,2016,2016-01-04,1173.5714285714287
PL,Poland,1,11478.0,2021,2021-01-04,1639.7142857142858
PT,Portugal,1,2352.0,2005,2005-01-03,336.0
PT,Portugal,1,2345.0,2010,2010-01-04,335.0
PT,Portugal,1,2321.0,2016,2016-01-04,331.57142857142856
PT,Portugal,1,3830.0,2021,2021-01-04,547.1428571428571
SI,Slovenia,1,389.0,2005,2005-01-03,55.57142857142857
SI,Slovenia,1,364.0,2010,2010-01-04,52.0
SI,Slovenia,1,451.0,2016,2016-01-04,64.42857142857143
SI,Slovenia,1,606.0,2021,2021-01-04,86.57142857142857
SK,Slovakia,1,1057.0,2005,2005-01-03,151.0
SK,Slovakia,1,1000.0,2010,2010-01-04,142.85714285714286
SK,Slovakia,1,1072.0,2016,2016-01-04,153.14285714285714
SK,Slovakia,1,2089.0,2021,2021-01-04,298.42857142857144
FI,Finland,1,977.0,2005,2005-01-03,139.57142857142858
FI,Finland,1,1029.0,2010,2010-01-04,147.0
FI,Finland,1,1184.0,2016,2016-01-04,169.14285714285714
FI,Finland,1,1104.0,2021,2021-01-04,157.71428571428572
SE,Sweden,1,1914.0,2005,2005-01-03,273.42857142857144
SE,Sweden,1,1899.0,2010,2010-01-04,271.2857142857143
SE,Sweden,1,1860.0,2016,2016-01-04,265.7142857142857
SE,Sweden,1,2306.0,2021,2021-01-04,329.42857142857144
NO,Norway,1,870.0,2005,2005-01-03,124.28571428571429
NO,Norway,1,886.0,2010,2010-01-04,126.57142857142857
NO,Norway,1,870.0,2016,2016-01-04,124.28571428571429
NO,Norway,1,832.0,2021,2021-01-04,118.85714285714286
CH,Switzerland,1,1232.0,2005,2005-01-03,176.0
CH,Switzerland,1,1301.0,2010,2010-01-04,185.85714285714286
CH,Switzerland,1,1340.0,2016,2016-01-04,191.42857142857142
CH,Switzerland,1,1906.0,2021,2021-01-04,272.2857142857143
CZ,Czechia,1,2155.0,2010,2010-01-04,307.85714285714283
CZ,Czechia,1,2222.0,2016,2016-01-04,317.42857142857144
CZ,Czechia,1,3846.0,2021,2021-01-04,549.4285714285714
DK,Denmark,1,1159.0,2010,2010-01-04,165.57142857142858
DK,Denmark,1,1103.0,2016,2016-01-04,157.57142857142858
DK,Denmark,1,1234.0,2021,2021-01-04,176.28571428571428
IT,Italy,1,13517.0,2016,2016-01-04,1931.0
IT,Italy,1,16831.0,2021,2021-01-04,2404.4285714285716
MT,Malta,1,86.0,2016,2016-01-04,12.285714285714286
MT,Malta,1,93.0,2021,2021-01-04,13.285714285714286
FR,France,1,12183.0,2016,2016-01-04,1740.4285714285713
FR,France,1,14976.0,2021,2021-01-04,2139.4285714285716
IE,Ireland,1,708.0,2016,2016-01-04,101.14285714285714
IE,Ireland,1,798.0,2021,2021-01-04,114.0
EL,Greece,1,2637.0,2016,2016-01-04,376.7142857142857
EL,Greece,1,2650.0,2021,2021-01-04,378.57142857142856
CY,Cyprus,1,113.0,2016,2016-01-04,16.142857142857142
CY,Cyprus,1,170.0,2021,2021-01-04,24.285714285714285
RO,Romania,1,5770.0,2016,2016-01-04,824.2857142857143
RO,Romania,1,6788.0,2021,2021-01-04,969.7142857142857
