country,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12
Austria,8862.0,7048.0,8793.0,6886.0,5945.0,7189.0,5816.0,7507.0,6171.0,6577.0,11002.0,9400.0,7850.0,6979.0,8435.0,6736.0,7866.0,6311.0,6027.0,7806.0,6459.0,6840.0,10459.0,7770.0,8809.0,7578.0,7719.0,7119.0,7934.0,6525.0,6737.0,7910.0,6512.0,8947.0,7129.0,8663.0
Belgium,11581.0,9133.0,12447.0,15055.0,8943.0,9471.0,7119.0,10969.0,7636.0,8766.0,16475.0,10837.0,9729.0,8952.0,10603.0,8782.0,10341.0,7550.0,7624.0,9422.0,7731.0,8937.0,12268.0,10019.0,12125.0,9474.0,9719.0,9530.0,10362.0,8022.0,8257.0,10369.0,8036.0,10811.0,8592.0,11070.0
Bulgaria,11862.0,9170.0,10132.0,7876.0,7789.0,9506.0,8014.0,10043.0,7551.0,8599.0,19062.0,16310.0,10106.0,9842.0,16896.0,14101.0,11997.0,8514.0,8230.0,11397.0,11176.0,14366.0,19398.0,12626.0,16762.0,12879.0,10011.0,8662.0,9775.0,7278.0,7955.0,10128.0,7657.0,10342.0,8200.0,8596.0
Croatia,5764.0,4289.0,5375.0,3859.0,3601.0,4615.0,3751.0,4834.0,3869.0,4267.0,6777.0,6940.0,5251.0,4582.0,5508.0,5231.0,5803.0,4189.0,3971.0,5022.0,4389.0,4772.0,7854.0,6070.0,7445.0,5290.0,4500.0,4200.0,4747.0,3834.0,4219.0,5042.0,3876.0,4967.0,4071.0,4750.0
Cyprus,795.0,574.0,670.0,482.0,556.0,532.0,446.0,527.0,424.0,441.0,608.0,595.0,606.0,553.0,651.0,614.0,608.0,476.0,589.0,776.0,508.0,487.0,699.0,652.0,964.0,687.0,714.0,600.0,593.0,452.0,536.0,586.0,457.0,626.0,557.0,577.0
Czechia,12729.0,9460.0,11571.0,8725.0,8053.0,10161.0,8187.0,10717.0,8739.0,11583.0,18909.0,12660.0,14644.0,13820.0,18641.0,10572.0,10617.0,7911.0,8031.0,9881.0,8371.0,9210.0,15244.0,12208.0,12463.0,10191.0,9641.0,9270.0,10407.0,8164.0,8321.0,10661.0,9007.0,11460.0,9063.0,11216.0
Denmark,5630.0,4266.0,5404.0,4463.0,4020.0,4862.0,3923.0,4881.0,4025.0,4038.0,5281.0,4685.0,4935.0,4352.0,5001.0,4078.0,5279.0,4120.0,4140.0,5383.0,4333.0,4493.0,5839.0,5088.0,6128.0,5032.0,4832.0,4567.0,5231.0,4328.0,4212.0,5425.0,4187.0,5491.0,4464.0,5374.0
Estonia,1595.0,1231.0,1584.0,1250.0,1174.0,1409.0,1118.0,1443.0,1178.0,1188.0,1496.0,1391.0,1529.0,1471.0,2068.0,1470.0,1618.0,1309.0,1245.0,1521.0,1328.0,1459.0,1987.0,1411.0,1845.0,1662.0,1438.0,1234.0,1496.0,1308.0,1224.0,1529.0,1315.0,1591.0,1312.0,1570.0
Finland,5394.0,4378.0,5491.0,4527.0,4266.0,5066.0,3925.0,4918.0,4238.0,4105.0,5427.0,4502.0,4597.0,4452.0,5305.0,4153.0,5202.0,4079.0,4283.0,5389.0,4467.0,4654.0,5902.0,5095.0,6523.0,5031.0,5014.0,5057.0,5633.0,4271.0,4299.0,5644.0,4744.0,6198.0,4957.0,4417.0
France,66514.0,50060.0,68144.0,65542.0,45226.0,54083.0,42091.0,55832.0,45699.0,50716.0,76758.0,58105.0,60393.0,57227.0,66241.0,53193.0,58601.0,42763.0,44313.0,58699.0,46501.0,48962.0,63852.0,58458.0,75806.0,54965.0,51444.0,52308.0,57870.0,44717.0,50000.0,59233.0,46585.0,62582.0,52403.0,64945.0
