country,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01,2020-07-01,2020-08-01,2020-09-01,2020-10-01,2020-11-01,2020-12-01,2021-01-01,2021-02-01,2021-03-01,2021-04-01,2021-05-01,2021-06-01,2021-07-01,2021-08-01,2021-09-01,2021-10-01,2021-11-01,2021-12-01,2022-01-01,2022-02-01,2022-03-01,2022-04-01,2022-05-01,2022-06-01,2022-07-01,2022-08-01,2022-09-01,2022-10-01,2022-11-01,2022-12-01
Austria,6355.428571428572,7309.142857142857,7784.142857142858,7463.142857142858,6622.142857142857,6165.428571428572,6426.714285714286,6644.428571428572,6571.571428571428,7198.714285714285,9174.0,10571.285714285714,8766.57142857143,6979.0,7424.142857142858,7263.714285714285,6976.0,6824.714285714285,6667.857142857143,6923.142857142858,6842.571428571428,7557.857142857143,8886.857142857143,7744.428571428572,7273.0,7436.571428571428,8559.42857142857,7715.0,7047.857142857143,6942.857142857143,7446.285714285714,7079.142857142857,6849.428571428572,7967.857142857143,7531.857142857143,7758.714285714285
Belgium,8510.285714285714,9434.0,10491.42857142857,16036.857142857143,10245.428571428572,8065.285714285714,8007.571428571428,9875.57142857143,8151.714285714286,9485.285714285714,14370.857142857143,12195.142857142857,10847.0,8952.0,9336.142857142857,9420.0,9262.42857142857,8155.714285714285,8455.714285714286,8296.285714285714,8295.714285714286,9768.0,10319.428571428572,9867.57142857143,9863.0,9876.0,10504.142857142857,10289.714285714286,9217.142857142857,8643.714285714286,9095.285714285714,9234.714285714286,8573.142857142857,9691.285714285714,9027.714285714286,9890.285714285714
Bulgaria,8215.428571428572,9542.571428571428,9010.142857142857,8454.857142857143,8638.0,8146.0,8806.285714285714,8950.428571428572,8157.571428571429,9313.857142857143,15338.857142857143,18982.571428571428,11544.0,9842.0,14585.142857142857,15515.0,11095.57142857143,9090.0,9151.714285714286,9926.857142857143,11728.714285714286,15584.0,16904.428571428572,12476.142857142857,13634.285714285714,13682.142857142857,11309.571428571428,9381.714285714286,8724.142857142857,7832.428571428572,8757.714285714286,9064.0,8157.285714285714,9054.285714285714,8897.142857142857,7855.142857142857
Croatia,3915.0,4463.714285714285,4722.857142857143,4288.428571428572,3973.0,3952.857142857143,4134.857142857143,4279.142857142857,4151.857142857143,4655.0,5667.285714285715,7491.571428571428,5997.571428571428,4582.0,4804.571428571428,5551.285714285714,5206.428571428572,4607.571428571428,4379.428571428572,4429.714285714286,4660.0,5246.0,6685.428571428572,5971.714285714285,6062.428571428572,5628.571428571428,5074.285714285715,4527.285714285714,4226.571428571428,4061.428571428572,4654.428571428572,4493.428571428572,4117.142857142857,4443.0,4309.857142857143,4242.0
Cyprus,581.1428571428571,598.1428571428571,591.4285714285714,531.1428571428571,606.1428571428571,455.57142857142856,489.2857142857143,465.8571428571429,459.4285714285714,483.57142857142856,506.8571428571428,651.5714285714286,666.7142857142857,553.0,572.1428571428571,650.8571428571429,548.0,498.0,645.7142857142857,695.0,557.4285714285714,541.8571428571429,588.2857142857143,604.1428571428571,790.0,733.2857142857143,753.0,668.4285714285714,537.5714285714286,479.2857142857143,584.4285714285714,518.5714285714286,489.8571428571429,538.8571428571429,592.4285714285714,527.0
Czechia,8543.285714285714,9792.0,10266.0,9493.142857142857,8925.57142857143,8673.857142857143,9077.57142857143,9571.0,9114.714285714286,12428.857142857143,16713.714285714286,13998.857142857143,15974.57142857143,13820.0,16704.428571428572,11801.42857142857,9563.57142857143,8593.285714285714,8808.285714285714,8754.142857142857,8910.0,10098.857142857143,12824.0,12254.57142857143,10211.285714285714,10381.285714285714,10629.714285714286,10022.714285714286,9264.857142857143,8700.0,9247.142857142857,9505.0,9491.857142857143,10287.42857142857,9527.285714285714,9926.285714285714
Denmark,4075.857142857143,4413.428571428572,4757.428571428572,4791.857142857143,4485.428571428572,4159.142857142857,4356.142857142857,4333.857142857143,4285.285714285715,4438.0,4497.285714285715,5105.857142857143,5458.0,4352.0,4445.0,4344.285714285714,4685.0,4397.428571428572,4595.142857142857,4782.714285714285,4596.285714285714,4981.142857142857,4971.142857142857,4863.0,5091.714285714286,5014.0,5372.857142857143,4919.142857142857,4639.428571428572,4596.571428571428,4696.285714285715,4857.571428571428,4440.428571428572,4932.428571428572,4670.285714285714,4854.0
Estonia,1141.571428571429,1269.142857142857,1399.142857142857,1345.428571428571,1310.7142857142858,1204.0,1238.428571428571,1272.142857142857,1244.857142857143,1333.142857142857,1253.142857142857,1523.0,1681.857142857143,1471.0,1836.0,1612.571428571429,1454.571428571429,1384.7142857142858,1382.142857142857,1328.857142857143,1411.857142857143,1607.2857142857142,1727.7142857142858,1426.857142857143,1518.4285714285716,1639.7142857142858,1645.4285714285716,1334.7142857142858,1328.857142857143,1370.571428571429,1369.2857142857142,1366.142857142857,1376.142857142857,1395.2857142857142,1423.7142857142858,1396.5714285714284
Finland,3919.857142857143,4519.285714285714,4855.428571428572,4829.0,4755.428571428572,4336.714285714285,4378.857142857143,4345.714285714285,4463.428571428572,4574.428571428572,4630.142857142857,4967.857142857143,5091.285714285715,4452.0,4703.285714285715,4466.428571428572,4622.0,4370.714285714285,4712.714285714285,4765.142857142857,4751.714285714285,5140.0,5022.714285714285,4830.857142857143,5396.714285714285,5090.142857142857,5534.714285714285,5427.714285714285,5044.428571428572,4545.428571428572,4788.857142857143,5038.285714285715,5014.571428571428,5454.0,5348.142857142857,4928.428571428572
France,48239.28571428572,51926.57142857143,58131.71428571428,71692.28571428571,50817.142857142855,45953.71428571428,47128.28571428572,49660.85714285714,48581.57142857143,55101.857142857145,65915.28571428571,64887.142857142855,66405.85714285714,57227.0,58517.57142857143,57194.71428571428,52772.42857142857,46347.0,48704.857142857145,51703.42857142857,50075.57142857143,53957.42857142857,54017.71428571428,55403.42857142857,62488.57142857143,57023.0,57079.28571428572,56157.57142857143,51500.28571428572,48233.57142857143,54627.71428571429,52710.71428571428,49575.857142857145,55856.0,54898.71428571429,58270.71428571429
