geo_codes,country,week,deaths,year,date,deaths_per_day,avg_deaths,excess_deaths,excess_deaths_prc
BE,Belgium,1,2814.0,2000,2000-01-03,402.0,2372.75,441.25,18.596565167000318
BG,Bulgaria,1,2740.0,2000,2000-01-03,391.42857142857144,2604.75,135.25,5.192436894135714
DE,Germany,1,18266.0,2000,2000-01-03,2609.4285714285716,19353.25,-1087.25,-5.617919470889903
EE,Estonia,1,410.0,2000,2000-01-03,58.57142857142857,341.25,68.75,20.146520146520146
ES,Spain,1,9414.0,2000,2000-01-03,1344.857142857143,9928.75,-514.75,-5.184439128792648
HR,Croatia,1,1069.0,2000,2000-01-03,152.71428571428572,1215.5,-146.5,-12.052653229123818
LV,Latvia,1,813.0,2000,2000-01-03,116.14285714285714,610.75,202.25,33.115022513303316
LT,Lithuania,1,759.0,2000,2000-01-03,108.42857142857143,867.75,-108.75,-12.532411408815902
LU,Luxembourg,1,93.0,2000,2000-01-03,13.285714285714286,88.25,4.75,5.382436260623229
HU,Hungary,1,3961.0,2000,2000-01-03,565.8571428571429,2906.75,1054.25,36.26902898426077
NL,Netherlands,1,3567.0,2000,2000-01-03,509.57142857142856,3287.75,279.25,8.493650672952628
AT,Austria,1,1867.0,2000,2000-01-03,266.7142857142857,1835.5,31.5,1.7161536366112777
PL,Poland,1,7913.0,2000,2000-01-03,1130.4285714285713,8633.5,-720.5,-8.34539873747611
PT,Portugal,1,2587.0,2000,2000-01-03,369.57142857142856,2789.75,-202.75,-7.267676315081996
SI,Slovenia,1,414.0,2000,2000-01-03,59.142857142857146,450.0,-36.0,-8.0
SK,Slovakia,1,1099.0,2000,2000-01-03,157.0,1170.5,-71.5,-6.108500640751815
FI,Finland,1,1202.0,2000,2000-01-03,171.71428571428572,1185.75,16.25,1.3704406493780308
SE,Sweden,1,2364.0,2000,2000-01-03,337.7142857142857,1987.5,376.5,18.943396226415093
NO,Norway,1,1296.0,2000,2000-01-03,185.14285714285714,921.5,374.5,40.64026044492675
CH,Switzerland,1,1611.0,2000,2000-01-03,230.14285714285714,1480.0,131.0,8.85135135135135
BE,Belgium,2,2761.0,2000,2000-01-10,394.42857142857144,2408.25,352.75,14.64756565971141
BG,Bulgaria,2,2942.0,2000,2000-01-10,420.2857142857143,2590.75,351.25,13.55785004342372
DE,Germany,2,18460.0,2000,2000-01-10,2637.1428571428573,19612.25,-1152.25,-5.875154559012862
EE,Estonia,2,418.0,2000,2000-01-10,59.714285714285715,346.0,72.0,20.809248554913296
