country,year,deaths,avg_deaths,excess_deaths,excess_deaths_prc
Austria,2000,74936.14285714286,79577.03571428571,-4640.892857142855,-5.831949902991573
Austria,2001,73151.0,79577.03571428571,-6426.03571428571,-8.075238863329643
Austria,2002,74470.14285714286,79577.03571428571,-5106.892857142855,-6.417545980826304
Austria,2003,75670.28571428571,79577.03571428571,-3906.75,-4.909393727641275
Austria,2004,73473.28571428571,79577.03571428571,-6103.75,-7.670240472282698
Austria,2005,74117.71428571429,79577.03571428571,-5459.32142857142,-6.860423210752195
Austria,2006,72760.28571428571,79577.03571428571,-6816.75,-8.566227604248713
Austria,2007,73037.28571428571,79577.03571428571,-6539.75,-8.218137231801888
Austria,2008,73305.28571428571,79577.03571428571,-6271.75,-7.881356654849727
Austria,2009,76468.14285714286,79577.03571428571,-3108.892857142855,-3.9067713810112994
Austria,2010,76353.85714285714,79577.03571428571,-3223.178571428565,-4.050387831737163
Austria,2011,74879.42857142858,79577.03571428571,-4697.60714285713,-5.903219566664273
Austria,2012,77625.42857142857,79577.03571428571,-1951.607142857145,-2.4524752968484744
Austria,2013,77958.57142857143,79577.03571428571,-1618.4642857142753,-2.0338333429825504
Austria,2014,76593.14285714286,79577.03571428571,-2983.892857142855,-3.749690888029881
Austria,2015,80769.85714285714,79577.03571428571,1192.8214285714348,1.4989518243104132
Austria,2016,77638.85714285714,79577.03571428571,-1938.1785714285652,-2.4356003638881742
Austria,2017,79900.14285714286,79577.03571428571,323.10714285714494,0.4060306342865453
Austria,2018,80615.28571428571,79577.03571428571,1038.25,1.3047105747036678
Austria,2019,80153.85714285714,79577.03571428571,576.8214285714348,0.7248591548979796
Austria,2020,88286.14285714286,79577.03571428571,8709.107142857145,10.944246747423996
Austria,2021,88856.85714285714,79577.03571428571,9279.821428571435,11.661431398236308
Austria,2022,89608.0,79577.03571428571,10030.96428571429,12.605350520632081
Austria,2023,29486.428571428572,79577.03571428571,-50090.60714285714,-62.94605810990876
Belgium,2000,102227.0,107144.82142857142,-4917.82142857142,-4.589882518820481
Belgium,2001,101099.85714285714,107144.82142857142,-6044.964285714275,-5.641863232507395
Belgium,2002,103395.42857142858,107144.82142857142,-3749.3928571428405,-3.499369178231717
Belgium,2003,104457.0,107144.82142857142,-2687.8214285714203,-2.5085873425653786
Belgium,2004,100652.0,107144.82142857142,-6492.82142857142,-6.059855569314555
Belgium,2005,101780.14285714286,107144.82142857142,-5364.678571428565,-5.006941539405106
Belgium,2006,99510.57142857143,107144.82142857142,-7634.249999999985,-7.125169371894835
